baths,beds,addressZipcode,addressCity,detailUrl,area,price,property_age
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/406-166th-Ave-NE-Bellevue-WA-98008/48913897_zpid/,2470.0,1495200.0,31
3.0,5.0,98008,Sammamish,https://www.zillow.com/homedetails/2714-162nd-Ave-NE-Bellevue-WA-98008/49055583_zpid/,2240.0,1633000.0,44
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/2422-168th-Ave-NE-Bellevue-WA-98008/48684225_zpid/,3320.0,1582600.0,36
1.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/1008-167th-Pl-NE-Bellevue-WA-98008/48858399_zpid/,1270.0,2939100.0,44
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/62-165th-Ave-SE-Bellevue-WA-98008/48913983_zpid/,2800.0,1279000.0,31
3.0,4.0,98008,Sammamish,https://www.zillow.com/homedetails/1308-W-Lake-Sammamish-Pkwy-NE-Bellevue-WA-98008/49037099_zpid/,3080.0,2555700.0,44
2.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/4175-W-Lake-Sammamish-Pkwy-SE-APT-A306-Bellevue-WA-98008/49043650_zpid/,895.0,462000.0,37
2.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/16100-SE-33rd-Cir-APT-704-Bellevue-WA-98008/49068981_zpid/,1107.0,756900.0,36
6.0,7.0,98008,Sammamish,https://www.zillow.com/homedetails/2254-W-Lake-Sammamish-Pkwy-SE-Bellevue-WA-98008/49120953_zpid/,4690.0,7003700.0,35
2.0,3.0,98008,Sammamish,https://www.zillow.com/homedetails/3221-170th-Ave-NE-Bellevue-WA-98008/49144676_zpid/,1980.0,1327000.0,36
2.0,2.0,98008,Sammamish,https://www.zillow.com/homedetails/16145-SE-33rd-Ln-Bellevue-WA-98008/452054688_zpid/,1107.0,757600.0,34
